visualize_data: /root/x00827378/vllm-ascend/mytmp/OPPROF_20260627134444_LLPYGPYEZKODALFN/visualize_data.bin
Source: /root/x00827378/vllm-ascend/mytmp/build_libcust_opapi_nodebug_debug_line/binary/ascend910b/src/turboquant_pack_kv_for_cache4bit/turboquant_pack_kv_for_cache4bit.cpp
Line  Instructions Executed  Records  Range Count
Source: /usr/local/Ascend/cann-8.5.1/aarch64-linux/asc/../../include/ascendc/include/adv_api/matmul/../../../impl/adv_api/detail/matmul/policy/../resource/l0_buffer/tbuf_pool_l0_base.h
Line  Instructions Executed  Records  Range Count
33    80                     1       2
48    40                     1       2
49    640                    1       6
50    440                    1       8
61    320                    1       2
107   160                    1       1
112   160                    1       1
117   480                    1       3
118   480                    1       3
124   40                     1       2

visualize_data: /root/x00827378/vllm-ascend/mytmp/OPPROF_20260627134444_LLPYGPYEZKODALFN/visualize_data.bin
Source: /usr/local/Ascend/cann-8.5.1/aarch64-linux/asc/../../include/ascendc/include/adv_api/matmul/../../../impl/adv_api/detail/matmul/policy/../resource/l0_buffer/tbuf_pool_l0_cache.h
Line  Instructions Executed  Records  Range Count
37    120                    1       3
45    1120                   1       6
46    0                      1       2
54    1280                   1       7
55    160                    1       3
70    320                    1       2
71    480                    1       1
72    160                    1       1
75    320                    1       1
80    160                    1       1
82    160                    1       1
88    320                    1       2
89    480                    1       1
90    160                    1       1
93    320                    1       1
98    320                    1       2
99    640                    1       3
100   160                    1       1
102   80                     1       1
110   640                    1       2
111   320                    1       2
112   320                    1       2
113   320                    1       2
114   960                    1       6
116   320                    1       2
118   320                    1       2
125   100                    1       4

visualize_data: /root/x00827378/vllm-ascend/mytmp/OPPROF_20260627134444_LLPYGPYEZKODALFN/visualize_data.bin
Source: /usr/local/Ascend/cann-8.5.1/aarch64-linux/asc/../../include/ascendc/include/adv_api/matmul/../../../impl/adv_api/detail/matmul/policy/../resource/local_workspace/matmul_local_workspace.h
Line  Instructions Executed  Records  Range Count
322   40                     1       2
324   40                     1       2

visualize_data: /root/x00827378/vllm-ascend/mytmp/OPPROF_20260627134444_LLPYGPYEZKODALFN/visualize_data.bin
Source: /usr/local/Ascend/cann-8.5.1/aarch64-linux/asc/../../include/ascendc/include/adv_api/matmul/../../../impl/adv_api/detail/matmul/policy/../scheduler/base/scheduler_base.h
Line  Instructions Executed  Records  Range Count
67    40                     1       2
70    40                     1       2
77    200                    1       4
79    200                    1       5
80    200                    1       2
81    320                    1       7
84    1120                   1       7
96    720                    1       7
98    560                    1       3
99    560                    1       2
109   520                    1       2
136   240                    1       3
152   7680                   1       2
153   6880                   1       2
155   3200                   1       2
156   7840                   1       2
206   14080                  1       8
445   480                    1       2
446   0                      1       2
448   0                      1       2
450   0                      1       2
463   320                    1       4
464   2080                   1       11
465   2560                   1       6
466   480                    1       3
473   160                    1       2
474   0                      1       2
479   3040                   1       2
485   160                    1       2
486   1920                   1       3
492   160                    1       2
493   0                      1       2

visualize_data: /root/x00827378/vllm-ascend/mytmp/OPPROF_20260627134444_LLPYGPYEZKODALFN/visualize_data.bin
Source: /usr/local/Ascend/cann-8.5.1/aarch64-linux/asc/../../include/ascendc/include/adv_api/matmul/../../../impl/adv_api/detail/matmul/policy/../scheduler/base/scheduler_mdl_base.h
